Time (year),cLand (PgC)
1850.5,3081.6669921875
1851.5,3081.434326171875
1852.5,3081.163330078125
1853.5,3080.894775390625
1854.5,3080.613037109375
1855.5,3080.370849609375
1856.5,3080.14697265625
1857.5,3079.962646484375
1858.5,3079.77685546875
1859.5,3079.6494140625
1860.5,3079.559814453125
1861.5,3079.510009765625
1862.5,3079.4619140625
1863.5,3079.5146484375
1864.5,3079.618896484375
1865.5,3079.759033203125
1866.5,3079.94921875
1867.5,3080.234375
1868.5,3080.556640625
1869.5,3080.99267578125
1870.5,3081.480712890625
1871.5,3082.064453125
1872.5,3082.724853515625
1873.5,3083.51904296875
1874.5,3084.381591796875
1875.5,3085.396240234375
1876.5,3086.513427734375
1877.5,3087.768798828125
1878.5,3089.189697265625
1879.5,3090.759765625
1880.5,3092.45751953125
1881.5,3094.3466796875
1882.5,3096.394287109375
1883.5,3098.610107421875
1884.5,3101.003662109375
1885.5,3103.58837890625
1886.5,3106.3046875
1887.5,3109.198486328125
1888.5,3112.23779296875
1889.5,3115.457763671875
1890.5,3118.842041015625
1891.5,3122.4111328125
1892.5,3126.14599609375
1893.5,3130.05615234375
1894.5,3134.099609375
1895.5,3138.2734375
1896.5,3142.5634765625
1897.5,3146.955078125
1898.5,3151.39501953125
1899.5,3155.892822265625
1900.5,3160.428955078125
1901.5,3165.01416015625
1902.5,3169.6357421875
1903.5,3174.31884765625
1904.5,3179.002685546875
1905.5,3183.68994140625
1906.5,3188.345947265625
1907.5,3192.987060546875
1908.5,3197.580322265625
1909.5,3202.1396484375
1910.5,3206.619873046875
1911.5,3211.032958984375
1912.5,3215.354248046875
1913.5,3219.574462890625
1914.5,3223.665283203125
1915.5,3227.633056640625
1916.5,3231.445068359375
1917.5,3235.119873046875
1918.5,3238.652099609375
1919.5,3242.055419921875
1920.5,3245.28759765625
1921.5,3248.376953125
1922.5,3251.289306640625
1923.5,3254.040771484375
1924.5,3256.6552734375
1925.5,3259.117431640625
1926.5,3261.41357421875
1927.5,3263.562744140625
1928.5,3265.55419921875
1929.5,3267.392333984375
1930.5,3269.11376953125
1931.5,3270.6982421875
1932.5,3272.171875
1933.5,3273.524169921875
1934.5,3274.7626953125
1935.5,3275.925048828125
1936.5,3276.99755859375
1937.5,3277.98486328125
1938.5,3278.8818359375
1939.5,3279.687744140625
1940.5,3280.39794921875
1941.5,3281.034912109375
1942.5,3281.6044921875
1943.5,3282.08935546875
1944.5,3282.534912109375
1945.5,3282.90185546875
1946.5,3283.201416015625
1947.5,3283.44482421875
1948.5,3283.65869140625
1949.5,3283.802734375
1950.5,3283.891357421875
1951.5,3283.939453125
1952.5,3283.955078125
1953.5,3283.92333984375
1954.5,3283.874755859375
1955.5,3283.761474609375
1956.5,3283.5859375
1957.5,3283.388916015625
1958.5,3283.166748046875
1959.5,3282.904052734375
1960.5,3282.625732421875
1961.5,3282.307373046875
1962.5,3281.984619140625
1963.5,3281.641357421875
1964.5,3281.28857421875
1965.5,3280.92138671875
1966.5,3280.552490234375
1967.5,3280.174560546875
1968.5,3279.763916015625
1969.5,3279.3623046875
1970.5,3278.9208984375
1971.5,3278.5029296875
1972.5,3278.0703125
1973.5,3277.64013671875
1974.5,3277.182861328125
1975.5,3276.74072265625
1976.5,3276.263916015625
1977.5,3275.8017578125
1978.5,3275.3681640625
1979.5,3274.9150390625
1980.5,3274.45751953125
1981.5,3273.974853515625
1982.5,3273.49951171875
1983.5,3273.0205078125
1984.5,3272.541259765625
1985.5,3272.07275390625
1986.5,3271.59716796875
1987.5,3271.1142578125
1988.5,3270.648681640625
1989.5,3270.187744140625
1990.5,3269.74267578125
1991.5,3269.29296875
1992.5,3268.859375
1993.5,3268.424560546875
1994.5,3267.985107421875
1995.5,3267.52685546875
1996.5,3267.1025390625
1997.5,3266.669921875
1998.5,3266.24609375
1999.5,3265.807373046875
2000.5,3265.37548828125
2001.5,3264.9423828125
2002.5,3264.529296875
2003.5,3264.087646484375
2004.5,3263.6552734375
2005.5,3263.2255859375
2006.5,3262.776123046875
2007.5,3262.3525390625
2008.5,3261.925537109375
2009.5,3261.519775390625
2010.5,3261.078857421875
2011.5,3260.637451171875
2012.5,3260.2001953125
2013.5,3259.770263671875
2014.5,3259.33056640625
2015.5,3258.91162109375
2016.5,3258.468994140625
2017.5,3258.04541015625
2018.5,3257.608154296875
2019.5,3257.194091796875
2020.5,3256.76904296875
2021.5,3256.378173828125
2022.5,3255.989013671875
2023.5,3255.59130859375
2024.5,3255.182373046875
2025.5,3254.783447265625
2026.5,3254.395751953125
2027.5,3253.989501953125
2028.5,3253.58984375
2029.5,3253.194580078125
2030.5,3252.810546875
2031.5,3252.41943359375
2032.5,3252.077880859375
2033.5,3251.73388671875
2034.5,3251.38623046875
2035.5,3251.019287109375
2036.5,3250.674072265625
2037.5,3250.333251953125
2038.5,3250.002685546875
2039.5,3249.665283203125
2040.5,3249.331298828125
2041.5,3248.989013671875
2042.5,3248.669921875
2043.5,3248.3447265625
2044.5,3248.02587890625
2045.5,3247.695556640625
2046.5,3247.416748046875
2047.5,3247.1201171875
2048.5,3246.838623046875
2049.5,3246.530517578125
2050.5,3246.243408203125
2051.5,3245.977294921875
2052.5,3245.73095703125
2053.5,3245.469482421875
2054.5,3245.216064453125
2055.5,3244.95263671875
2056.5,3244.729248046875
2057.5,3244.5009765625
2058.5,3244.267578125
2059.5,3244.01953125
2060.5,3243.773193359375
2061.5,3243.529052734375
2062.5,3243.313232421875
2063.5,3243.099365234375
2064.5,3242.8916015625
2065.5,3242.649169921875
2066.5,3242.44384765625
2067.5,3242.224853515625
2068.5,3242.017822265625
2069.5,3241.8037109375
2070.5,3241.60009765625
2071.5,3241.393310546875
2072.5,3241.201416015625
2073.5,3240.977294921875
2074.5,3240.7900390625
2075.5,3240.596435546875
2076.5,3240.42919921875
2077.5,3240.232666015625
2078.5,3240.030517578125
2079.5,3239.835693359375
2080.5,3239.646484375
2081.5,3239.48876953125
2082.5,3239.332763671875
2083.5,3239.14990234375
2084.5,3238.986328125
2085.5,3238.819580078125
2086.5,3238.677001953125
2087.5,3238.524169921875
2088.5,3238.357666015625
2089.5,3238.178466796875
2090.5,3238.010986328125
2091.5,3237.843994140625
2092.5,3237.68994140625
2093.5,3237.533203125
2094.5,3237.40478515625
2095.5,3237.2275390625
2096.5,3237.044921875
2097.5,3236.867431640625
2098.5,3236.708251953125
2099.5,3236.5615234375
2100.5,3236.41748046875
2101.5,3236.228515625
2102.5,3236.071044921875
2103.5,3235.8955078125
2104.5,3235.746337890625
2105.5,3235.59130859375
2106.5,3235.451904296875
2107.5,3235.275634765625
2108.5,3235.12255859375
2109.5,3234.946044921875
2110.5,3234.7783203125
2111.5,3234.61328125
2112.5,3234.470703125
2113.5,3234.29931640625
2114.5,3234.1201171875
2115.5,3233.926025390625
2116.5,3233.73779296875
2117.5,3233.573486328125
2118.5,3233.400634765625
2119.5,3233.2373046875
2120.5,3233.04052734375
2121.5,3232.85302734375
2122.5,3232.646240234375
2123.5,3232.4580078125
2124.5,3232.2744140625
2125.5,3232.0849609375
2126.5,3231.862548828125
2127.5,3231.67236328125
2128.5,3231.474609375
2129.5,3231.297119140625
2130.5,3231.098876953125
2131.5,3230.8857421875
2132.5,3230.640380859375
2133.5,3230.407958984375
2134.5,3230.1865234375
2135.5,3229.974853515625
2136.5,3229.7421875
2137.5,3229.53515625
