Time (year),tas (K)
1850.5,286.564208984375
1851.5,286.58062744140625
1852.5,286.5917053222656
1853.5,286.59686279296875
1854.5,286.6011962890625
1855.5,286.60784912109375
1856.5,286.6123352050781
1857.5,286.61798095703125
1858.5,286.6233825683594
1859.5,286.6279296875
1860.5,286.6326904296875
1861.5,286.6359558105469
1862.5,286.63916015625
1863.5,286.64300537109375
1864.5,286.6486511230469
1865.5,286.6521911621094
1866.5,286.6575927734375
1867.5,286.6609802246094
1868.5,286.6683044433594
1869.5,286.6754150390625
1870.5,286.68670654296875
1871.5,286.69677734375
1872.5,286.70819091796875
1873.5,286.7194519042969
1874.5,286.72869873046875
1875.5,286.7412414550781
1876.5,286.75555419921875
1877.5,286.7703552246094
1878.5,286.7847900390625
1879.5,286.8028869628906
1880.5,286.8235168457031
1881.5,286.8465881347656
1882.5,286.8677673339844
1883.5,286.8941650390625
1884.5,286.9224853515625
1885.5,286.9566345214844
1886.5,286.9945068359375
1887.5,287.031494140625
1888.5,287.0665588378906
1889.5,287.1006774902344
1890.5,287.13385009765625
1891.5,287.1690673828125
1892.5,287.20513916015625
1893.5,287.2435607910156
1894.5,287.2811279296875
1895.5,287.3224182128906
1896.5,287.3639831542969
1897.5,287.4061584472656
1898.5,287.4495544433594
1899.5,287.4945068359375
1900.5,287.5388488769531
1901.5,287.5849914550781
1902.5,287.6272888183594
1903.5,287.6693420410156
1904.5,287.71063232421875
1905.5,287.7546081542969
1906.5,287.7987060546875
1907.5,287.8406066894531
1908.5,287.8787536621094
1909.5,287.91961669921875
1910.5,287.9581604003906
1911.5,287.994384765625
1912.5,288.0324401855469
1913.5,288.0671081542969
1914.5,288.1012268066406
1915.5,288.1347351074219
1916.5,288.16571044921875
1917.5,288.1958923339844
1918.5,288.2247619628906
1919.5,288.24969482421875
1920.5,288.2757263183594
1921.5,288.300537109375
1922.5,288.3210144042969
1923.5,288.34161376953125
1924.5,288.3594665527344
1925.5,288.37591552734375
1926.5,288.3900146484375
1927.5,288.4035339355469
1928.5,288.4146728515625
1929.5,288.4245300292969
1930.5,288.4324951171875
1931.5,288.43853759765625
1932.5,288.4437255859375
1933.5,288.44793701171875
1934.5,288.4523010253906
1935.5,288.4559326171875
1936.5,288.4587707519531
1937.5,288.4617614746094
1938.5,288.46173095703125
1939.5,288.46240234375
1940.5,288.4643249511719
1941.5,288.4648132324219
1942.5,288.4641418457031
1943.5,288.46258544921875
1944.5,288.462646484375
1945.5,288.4618225097656
1946.5,288.46063232421875
1947.5,288.4588623046875
1948.5,288.4577331542969
1949.5,288.4572448730469
1950.5,288.4552001953125
1951.5,288.4523010253906
1952.5,288.45050048828125
1953.5,288.4476623535156
1954.5,288.4463195800781
1955.5,288.4443054199219
1956.5,288.44189453125
1957.5,288.43951416015625
1958.5,288.43707275390625
1959.5,288.4356994628906
1960.5,288.4345703125
1961.5,288.4316101074219
1962.5,288.4300842285156
1963.5,288.42864990234375
1964.5,288.42742919921875
1965.5,288.4266357421875
1966.5,288.4251708984375
1967.5,288.4246826171875
1968.5,288.4231262207031
1969.5,288.42230224609375
1970.5,288.4223327636719
1971.5,288.4217834472656
1972.5,288.42205810546875
1973.5,288.4216613769531
1974.5,288.4212951660156
1975.5,288.4213562011719
1976.5,288.4206848144531
1977.5,288.41986083984375
1978.5,288.41986083984375
1979.5,288.4197998046875
1980.5,288.4195861816406
1981.5,288.41949462890625
1982.5,288.4189147949219
1983.5,288.4202880859375
1984.5,288.4197998046875
1985.5,288.41961669921875
1986.5,288.4189758300781
1987.5,288.41998291015625
1988.5,288.42022705078125
1989.5,288.42041015625
1990.5,288.4199523925781
1991.5,288.420166015625
1992.5,288.42169189453125
1993.5,288.42071533203125
1994.5,288.4212646484375
1995.5,288.4212646484375
1996.5,288.4217224121094
1997.5,288.4222106933594
1998.5,288.4232482910156
1999.5,288.4226989746094
2000.5,288.4248046875
2001.5,288.4254150390625
2002.5,288.42657470703125
2003.5,288.42572021484375
2004.5,288.4258728027344
2005.5,288.42547607421875
2006.5,288.4262390136719
2007.5,288.4274597167969
2008.5,288.4283447265625
2009.5,288.4293212890625
2010.5,288.42913818359375
