Time (year),tos (K)
1850.5,291.09716796875
1851.5,291.1103515625
1852.5,291.11822509765625
1853.5,291.1228942871094
1854.5,291.12554931640625
1855.5,291.1293029785156
1856.5,291.1321105957031
1857.5,291.1351013183594
1858.5,291.1378479003906
1859.5,291.1410827636719
1860.5,291.143310546875
1861.5,291.1456604003906
1862.5,291.1468811035156
1863.5,291.14892578125
1864.5,291.1522216796875
1865.5,291.1546325683594
1866.5,291.1573486328125
1867.5,291.1594543457031
1868.5,291.1629638671875
1869.5,291.1671142578125
1870.5,291.1734619140625
1871.5,291.179931640625
1872.5,291.18634033203125
1873.5,291.19354248046875
1874.5,291.1995849609375
1875.5,291.2069091796875
1876.5,291.216064453125
1877.5,291.2253723144531
1878.5,291.2353820800781
1879.5,291.246826171875
1880.5,291.2597351074219
1881.5,291.2740783691406
1882.5,291.2884826660156
1883.5,291.3048095703125
1884.5,291.32293701171875
1885.5,291.3432922363281
1886.5,291.365478515625
1887.5,291.3888854980469
1888.5,291.411865234375
1889.5,291.43536376953125
1890.5,291.45880126953125
1891.5,291.48260498046875
1892.5,291.5069580078125
1893.5,291.5326232910156
1894.5,291.55853271484375
1895.5,291.5853271484375
1896.5,291.6130676269531
1897.5,291.6417236328125
1898.5,291.67108154296875
1899.5,291.7006530761719
1900.5,291.731201171875
1901.5,291.7619934082031
1902.5,291.7921142578125
1903.5,291.82177734375
1904.5,291.8506774902344
1905.5,291.8804016113281
1906.5,291.9092712402344
1907.5,291.9384765625
1908.5,291.965087890625
1909.5,291.99249267578125
1910.5,292.0191955566406
1911.5,292.04510498046875
1912.5,292.0707702636719
1913.5,292.0953063964844
1914.5,292.11920166015625
1915.5,292.1423645019531
1916.5,292.16400146484375
1917.5,292.18499755859375
1918.5,292.2046203613281
1919.5,292.22259521484375
1920.5,292.2402038574219
1921.5,292.2566833496094
1922.5,292.2711486816406
1923.5,292.2853088378906
1924.5,292.2978820800781
1925.5,292.3091125488281
1926.5,292.3193359375
1927.5,292.32843017578125
1928.5,292.3365478515625
1929.5,292.34332275390625
1930.5,292.34869384765625
1931.5,292.3529968261719
1932.5,292.35675048828125
1933.5,292.3598327636719
1934.5,292.3628845214844
1935.5,292.3654479980469
1936.5,292.3672790527344
1937.5,292.3687744140625
1938.5,292.3691711425781
1939.5,292.36956787109375
1940.5,292.3702392578125
1941.5,292.37060546875
1942.5,292.3701171875
1943.5,292.3692626953125
1944.5,292.3688659667969
1945.5,292.3682861328125
1946.5,292.36712646484375
1947.5,292.3658142089844
1948.5,292.3648376464844
1949.5,292.36346435546875
1950.5,292.3621520996094
1951.5,292.3601379394531
1952.5,292.35888671875
1953.5,292.35699462890625
1954.5,292.3556213378906
1955.5,292.35382080078125
1956.5,292.3520202636719
1957.5,292.3504638671875
1958.5,292.3487548828125
1959.5,292.347412109375
1960.5,292.34625244140625
1961.5,292.3446960449219
1962.5,292.3431701660156
1963.5,292.3420715332031
1964.5,292.34112548828125
1965.5,292.3404846191406
1966.5,292.3395690917969
1967.5,292.3389587402344
1968.5,292.338134765625
1969.5,292.33740234375
1970.5,292.3371276855469
1971.5,292.3371276855469
1972.5,292.3368225097656
1973.5,292.3367919921875
1974.5,292.33642578125
1975.5,292.3366394042969
1976.5,292.3365173339844
1977.5,292.3359680175781
1978.5,292.33587646484375
1979.5,292.33587646484375
1980.5,292.3361511230469
1981.5,292.3360595703125
1982.5,292.33587646484375
1983.5,292.3363342285156
1984.5,292.3368225097656
1985.5,292.3367614746094
1986.5,292.3367004394531
1987.5,292.3372497558594
1988.5,292.3377990722656
1989.5,292.3379211425781
1990.5,292.3378601074219
1991.5,292.33837890625
1992.5,292.3392028808594
1993.5,292.33941650390625
1994.5,292.33966064453125
1995.5,292.3401794433594
1996.5,292.34075927734375
1997.5,292.34124755859375
1998.5,292.3418884277344
1999.5,292.3424987792969
2000.5,292.3434143066406
2001.5,292.3441467285156
2002.5,292.3447570800781
2003.5,292.3449401855469
2004.5,292.3453063964844
2005.5,292.34539794921875
2006.5,292.34576416015625
2007.5,292.34686279296875
2008.5,292.3477783203125
2009.5,292.3486633300781
2010.5,292.3491516113281
2011.5,292.3499450683594
2012.5,292.3512878417969
2013.5,292.3521423339844
2014.5,292.353271484375
2015.5,292.3541259765625
2016.5,292.3547058105469
2017.5,292.3558654785156
2018.5,292.35687255859375
2019.5,292.357421875
2020.5,292.3579406738281
2021.5,292.35833740234375
2022.5,292.3585510253906
2023.5,292.3590393066406
2024.5,292.3601379394531
2025.5,292.36102294921875
2026.5,292.36224365234375
2027.5,292.3633117675781
2028.5,292.36407470703125
2029.5,292.3649597167969
2030.5,292.3656311035156
2031.5,292.36614990234375
2032.5,292.3668518066406
2033.5,292.3674621582031
2034.5,292.3681335449219
2035.5,292.36859130859375
2036.5,292.3696594238281
2037.5,292.370361328125
2038.5,292.37115478515625
2039.5,292.37158203125
2040.5,292.37237548828125
2041.5,292.373046875
2042.5,292.3736877441406
2043.5,292.3745422363281
2044.5,292.37567138671875
2045.5,292.37591552734375
2046.5,292.376708984375
2047.5,292.376953125
2048.5,292.3778991699219
2049.5,292.3779296875
2050.5,292.378662109375
2051.5,292.3792419433594
2052.5,292.3799743652344
2053.5,292.38055419921875
2054.5,292.3807373046875
2055.5,292.3809509277344
2056.5,292.3819885253906
2057.5,292.3823547363281
2058.5,292.38275146484375
2059.5,292.38311767578125
2060.5,292.3837890625
2061.5,292.3841552734375
2062.5,292.3842468261719
2063.5,292.385009765625
2064.5,292.3853454589844
2065.5,292.38580322265625
2066.5,292.3865051269531
2067.5,292.3866271972656
2068.5,292.3871154785156
2069.5,292.3874206542969
2070.5,292.3870544433594
2071.5,292.3876953125
2072.5,292.3882141113281
2073.5,292.3891906738281
2074.5,292.3893127441406
2075.5,292.3897399902344
2076.5,292.38995361328125
2077.5,292.3900146484375
2078.5,292.390625
2079.5,292.39111328125
2080.5,292.3911437988281
2081.5,292.391357421875
2082.5,292.39117431640625
2083.5,292.39154052734375
2084.5,292.39202880859375
2085.5,292.3923645019531
2086.5,292.392578125
2087.5,292.39239501953125
2088.5,292.3929748535156
2089.5,292.39324951171875
2090.5,292.3936767578125
2091.5,292.3939208984375
2092.5,292.3946228027344
2093.5,292.39434814453125
2094.5,292.3944396972656
2095.5,292.394775390625
2096.5,292.3959045410156
2097.5,292.39666748046875
2098.5,292.3967590332031
2099.5,292.3963928222656
2100.5,292.3966979980469
2101.5,292.396728515625
2102.5,292.3966979980469
2103.5,292.3966979980469
2104.5,292.3971862792969
2105.5,292.39727783203125
2106.5,292.3974609375
2107.5,292.3977355957031
2108.5,292.3986511230469
2109.5,292.3995361328125
2110.5,292.399658203125
2111.5,292.400146484375
2112.5,292.400390625
2113.5,292.4001770019531
2114.5,292.400390625
2115.5,292.400634765625
2116.5,292.4010925292969
2117.5,292.4007568359375
2118.5,292.40087890625
2119.5,292.40155029296875
2120.5,292.4023132324219
2121.5,292.4029846191406
2122.5,292.4033203125
2123.5,292.4031066894531
2124.5,292.403564453125
2125.5,292.4041442871094
2126.5,292.40484619140625
2127.5,292.40545654296875
2128.5,292.4059143066406
2129.5,292.40618896484375
2130.5,292.40673828125
2131.5,292.40771484375
2132.5,292.40838623046875
2133.5,292.4084167480469
2134.5,292.40887451171875
2135.5,292.40948486328125
2136.5,292.4100646972656
2137.5,292.41094970703125
2138.5,292.4115905761719
2139.5,292.4120788574219
2140.5,292.41326904296875
2141.5,292.414794921875
2142.5,292.4161682128906
2143.5,292.41729736328125
2144.5,292.41790771484375
2145.5,292.41827392578125
2146.5,292.4187927246094
2147.5,292.4189758300781
2148.5,292.419189453125
2149.5,292.4197082519531
2150.5,292.4205322265625
2151.5,292.4218444824219
2152.5,292.422607421875
2153.5,292.42333984375
2154.5,292.42376708984375
2155.5,292.42401123046875
2156.5,292.424560546875
2157.5,292.424560546875
2158.5,292.42529296875
2159.5,292.4257507324219
2160.5,292.4267883300781
2161.5,292.42822265625
2162.5,292.4287109375
2163.5,292.4294738769531
2164.5,292.429931640625
2165.5,292.4298400878906
2166.5,292.4303894042969
2167.5,292.4302062988281
2168.5,292.43109130859375
2169.5,292.4320068359375
2170.5,292.4331970214844
2171.5,292.4341735839844
2172.5,292.4346008300781
2173.5,292.43505859375
2174.5,292.4353332519531
2175.5,292.4360046386719
2176.5,292.4366760253906
2177.5,292.43731689453125
2178.5,292.43829345703125
2179.5,292.438720703125
2180.5,292.4394836425781
2181.5,292.4403076171875
2182.5,292.4410705566406
2183.5,292.44134521484375
2184.5,292.4408264160156
2185.5,292.44061279296875
2186.5,292.44091796875
2187.5,292.44122314453125
2188.5,292.4422912597656
2189.5,292.4427795410156
2190.5,292.443359375
2191.5,292.4438171386719
2192.5,292.4443054199219
2193.5,292.44500732421875
2194.5,292.44580078125
2195.5,292.4466552734375
2196.5,292.4474182128906
2197.5,292.44805908203125
2198.5,292.4490661621094
2199.5,292.4499206542969
2200.5,292.4501647949219
2201.5,292.4504089355469
2202.5,292.4505310058594
2203.5,292.449951171875
2204.5,292.4493713378906
2205.5,292.44891357421875
2206.5,292.44903564453125
2207.5,292.4493713378906
2208.5,292.44989013671875
2209.5,292.4499816894531
2210.5,292.4503479003906
2211.5,292.45050048828125
2212.5,292.4505310058594
2213.5,292.4510803222656
2214.5,292.4521789550781
2215.5,292.45281982421875
2216.5,292.4539489746094
2217.5,292.4538879394531
2218.5,292.453369140625
2219.5,292.45257568359375
2220.5,292.451904296875
2221.5,292.4509582519531
2222.5,292.4500732421875
2223.5,292.44989013671875
2224.5,292.44970703125
2225.5,292.44976806640625
2226.5,292.4501953125
2227.5,292.45068359375
2228.5,292.4510498046875
2229.5,292.4512634277344
2230.5,292.4515075683594
2231.5,292.45166015625
2232.5,292.4509582519531
2233.5,292.4503479003906
2234.5,292.4493408203125
2235.5,292.4489440917969
2236.5,292.4493103027344
2237.5,292.44921875
2238.5,292.4493103027344
2239.5,292.4493713378906
2240.5,292.4493103027344
2241.5,292.4498291015625
2242.5,292.4502868652344
2243.5,292.4500732421875
2244.5,292.4497985839844
2245.5,292.449462890625
2246.5,292.4494934082031
2247.5,292.4490661621094
2248.5,292.44873046875
2249.5,292.4485168457031
2250.5,292.44873046875
2251.5,292.4487609863281
2252.5,292.4486999511719
2253.5,292.44842529296875
2254.5,292.4481506347656
2255.5,292.44793701171875
2256.5,292.4483947753906
2257.5,292.4485778808594
2258.5,292.4487609863281
2259.5,292.4486083984375
