Time (year),co2 (ppm)
1850.5,285.1527099609375
1851.5,285.4869689941406
1852.5,285.87286376953125
1853.5,286.2900695800781
1854.5,286.7425842285156
1855.5,287.2231750488281
1856.5,287.757568359375
1857.5,288.34381103515625
1858.5,289.0191955566406
1859.5,289.76007080078125
1860.5,290.5975646972656
1861.5,291.5567626953125
1862.5,292.6524963378906
1863.5,293.87518310546875
1864.5,295.2816162109375
1865.5,296.87078857421875
1866.5,298.6766357421875
1867.5,300.69512939453125
1868.5,302.9759826660156
1869.5,305.52490234375
1870.5,308.3866882324219
1871.5,311.57037353515625
1872.5,315.1123962402344
1873.5,319.02618408203125
1874.5,323.3675537109375
1875.5,328.12054443359375
1876.5,333.3349304199219
1877.5,339.032470703125
1878.5,345.22906494140625
1879.5,351.9515075683594
1880.5,359.216064453125
1881.5,367.0352783203125
1882.5,375.4308166503906
1883.5,384.3953857421875
1884.5,393.94219970703125
1885.5,404.0537414550781
1886.5,414.73486328125
1887.5,425.9784240722656
1888.5,437.7725524902344
1889.5,450.09942626953125
1890.5,462.94207763671875
1891.5,476.2577819824219
1892.5,490.0173034667969
1893.5,504.1839294433594
1894.5,518.7056884765625
1895.5,533.5405883789062
1896.5,548.611328125
1897.5,563.8759155273438
1898.5,579.266845703125
1899.5,594.734375
1900.5,610.2020874023438
1901.5,625.6279907226562
1902.5,640.94140625
1903.5,656.0899658203125
1904.5,671.0159301757812
1905.5,685.640380859375
1906.5,699.9112548828125
1907.5,713.7867431640625
1908.5,727.2219848632812
1909.5,740.1689453125
1910.5,752.5834350585938
1911.5,764.448486328125
1912.5,775.7142333984375
1913.5,786.3401489257812
1914.5,796.3133544921875
1915.5,805.6026611328125
1916.5,814.2352294921875
1917.5,822.1890869140625
1918.5,829.457763671875
1919.5,836.0407104492188
1920.5,841.94580078125
1921.5,847.2164916992188
1922.5,851.8934326171875
1923.5,855.9827270507812
1924.5,859.5253295898438
1925.5,862.5362548828125
1926.5,865.0667114257812
1927.5,867.1666870117188
1928.5,868.8499755859375
1929.5,870.1521606445312
1930.5,871.1062622070312
1931.5,871.7561645507812
1932.5,872.1278076171875
1933.5,872.2546997070312
1934.5,872.1758422851562
1935.5,871.9075317382812
1936.5,871.467041015625
1937.5,870.8833618164062
1938.5,870.1611938476562
1939.5,869.3367309570312
1940.5,868.4307861328125
1941.5,867.4405517578125
1942.5,866.4072875976562
1943.5,865.3324584960938
1944.5,864.2261352539062
1945.5,863.0928955078125
1946.5,861.9530029296875
1947.5,860.8007202148438
1948.5,859.6622314453125
1949.5,858.5349731445312
1950.5,857.344970703125
1951.5,856.10693359375
1952.5,854.9074096679688
1953.5,853.7509765625
1954.5,852.6305541992188
1955.5,851.5499877929688
1956.5,850.5040893554688
1957.5,849.4874877929688
1958.5,848.5055541992188
1959.5,847.5341186523438
1960.5,846.6051025390625
1961.5,845.7086791992188
1962.5,844.85107421875
1963.5,844.0066528320312
1964.5,843.1747436523438
1965.5,842.35888671875
1966.5,841.5806274414062
1967.5,840.8312377929688
1968.5,840.1010131835938
1969.5,839.3672485351562
1970.5,838.6627807617188
1971.5,837.9703369140625
1972.5,837.3041381835938
1973.5,836.6485595703125
1974.5,836.0036010742188
1975.5,835.3621215820312
1976.5,834.7371826171875
1977.5,834.122802734375
1978.5,833.522705078125
1979.5,832.92529296875
1980.5,832.35009765625
1981.5,831.7694091796875
1982.5,831.1943969726562
1983.5,830.6206665039062
1984.5,830.066650390625
1985.5,829.517333984375
1986.5,828.9706420898438
1987.5,828.4215698242188
1988.5,827.8779296875
1989.5,827.3395385742188
1990.5,826.8031005859375
1991.5,826.2621459960938
1992.5,825.718017578125
1993.5,825.1751708984375
1994.5,824.6355590820312
1995.5,824.08056640625
1996.5,823.5364990234375
1997.5,822.993408203125
1998.5,822.4462280273438
1999.5,821.8968505859375
2000.5,821.342041015625
2001.5,820.7864990234375
2002.5,820.2367553710938
2003.5,819.6915893554688
2004.5,819.143310546875
2005.5,818.59765625
2006.5,818.0538330078125
2007.5,817.5078735351562
2008.5,816.9680786132812
2009.5,816.4224243164062
2010.5,815.861572265625
2011.5,815.2946166992188
2012.5,814.7130737304688
2013.5,814.1401977539062
