year,data_mean_global,data_mean_nh,data_mean_sh
2015,399.949131198081,401.67808256281,398.220179833351
2016,403.11696282671,405.106819086135,401.127106567286
2017,405.750962662217,407.749685847228,403.752239477205
2018,408.586962739617,410.581515011111,406.592410468122
2019,411.404962559116,413.409245187335,409.400679930896
2020,414.213962580739,416.217078455877,412.210846705601
2021,417.01396381533,418.950530278546,415.077397352115
2022,419.698965252094,421.55808519358,417.839845310608
2023,422.16996668885,423.951640108608,420.388293269093
2024,424.442968125621,426.147195023649,422.738741227592
2025,426.524969562405,428.151749938705,424.898189186106
2026,428.425970999116,429.975304853687,426.876637144545
2027,430.150972435876,431.622859768718,428.679085103034
2028,431.705973872685,433.100414683798,430.311533061573
2029,433.095975309445,434.412969598829,431.778981020061
2030,434.323976737813,435.563979478507,433.08397399712
2031,435.393978115484,436.55971914572,434.228237085247
2032,436.336979484676,437.428913777495,435.245045191857
2033,437.178980853977,438.197108409378,436.160853298576
2034,437.916982223147,438.86130304113,436.972661405164
2035,438.552983592425,439.42349767299,437.68246951186
2036,439.083984961639,439.880692304786,438.287277618492
2037,439.512986330918,440.235886936647,438.790085725188
2038,439.836987700131,440.486081568443,439.18789383182
2039,440.058989069343,440.634276200237,439.48370193845
2040,440.178990347037,440.685404923119,439.672575770955
2041,440.196991075526,440.664138192437,439.729843958616
2042,440.138991712496,440.571805552842,439.70617787215
2043,440.026992349417,440.425472913198,439.628511785637
2044,439.8599929864,440.224140273615,439.495845699184
2045,439.634993623281,439.964807633932,439.30517961263
2046,439.351994260223,439.647474994309,439.056513526137
2047,439.010994897203,439.272142354724,438.749847439681
2048,438.610995534132,438.837809715088,438.384181353176
2049,438.150996171035,438.343477075427,437.958515266644
2050,437.631996765459,437.792436193588,437.471557337331
2051,437.053997104819,437.196145858496,436.911848351141
2052,436.445997401635,436.572147281163,436.319847522107
2053,435.835997698403,435.946148703782,435.725846693025
2054,435.219997995208,435.314150126438,435.125845863979
2055,434.596998292069,434.675151549149,434.51884503499
2056,433.963998588836,434.026152971767,433.901844205906
2057,433.32099888566,433.367154394441,433.274843376879
2058,432.664999182439,432.695155817071,432.634842547807
2059,431.996999479235,432.011157239717,431.982841718752
2060,431.313999772316,431.312359857837,431.315639686794
2061,430.617000043019,430.600769648709,430.633230437328
2062,429.908000309987,429.877380635034,429.93861998494
2063,429.190000576897,429.144991621301,429.235009532492
2064,428.463000843866,428.403602607627,428.522399080104
2065,427.726001110778,427.652213593896,427.799788627659
2066,426.979001377785,426.89082458026,427.067178175309
2067,426.221001644675,426.118435566508,426.323567722843
2068,425.452001911662,425.335046552852,425.568957270472
2069,424.670002178617,424.538657539164,424.80134681807
2070,423.877002444664,423.731314780161,424.022690109168
2071,423.071002705607,422.911249549606,423.230755861607
2072,422.254002965646,422.080230573741,422.427775357551
2073,421.425003225729,421.23721159792,421.612794853539
2074,420.584003485858,420.382192622144,420.785814349572
2075,419.731003745919,419.5151736463,419.946833845538
2076,418.867004005993,418.63715467047,419.096853341517
2077,417.991004266081,417.747135694653,418.234872837509
2078,417.102004526161,416.844116718828,417.359892333494
2079,416.202004786255,415.930097743017,416.473911829492
2080,415.288005054194,415.001656408415,415.574353699974
2081,414.362005369111,414.058680920962,414.665329817259
2082,413.421005691851,413.100283074696,413.741728309006
2083,412.461006014613,412.122885228451,412.799126800775
2084,411.484006337396,411.128487382227,411.839525292565
2085,410.490006660174,410.117089535999,410.862923784349
2086,409.477006982945,409.086691689763,409.867322276127
2087,408.448007305686,408.040293843497,408.855720767874
2088,407.401007628426,406.975895997231,407.826119259622
2089,406.336007951228,405.893498151026,406.77851775143
2090,405.255008274128,404.79509221651,405.714924331747
2091,404.157008597954,403.679637752462,404.634379443446
2092,403.041008921906,402.546175200131,403.535842643682
2093,401.908009245892,401.395712647833,402.420305843951
2094,400.758009569831,400.228250095489,401.287769044173
2095,399.59100989382,399.043787543194,400.138232244445
2096,398.407010217773,397.842324990864,398.971695444682
2097,397.206010541728,396.623862438536,397.78815864492
2098,395.989010865697,395.389399886221,396.588621845172
2099,394.75601118969,394.138937333931,395.373085045448
2100,393.506011473137,392.87365760063,394.138365345643
2101,392.241011513642,391.6064747816,392.875548245685
2102,390.983011513642,390.3484747816,391.617548245684
2103,389.755011513638,389.120474781597,390.389548245681
2104,388.552011513634,387.917474781592,389.186548245676
2105,387.373011513643,386.738474781601,388.007548245685
2106,386.216011513632,385.58147478159,386.850548245674
2107,385.08001151364,384.445474781598,385.714548245682
2108,383.964011513634,383.329474781592,384.598548245677
2109,382.867011513638,382.232474781596,383.501548245681
2110,381.788011513632,381.153474781589,382.422548245674
2111,380.725011513649,380.090474781607,381.359548245691
2112,379.679011513637,379.044474781595,380.313548245679
2113,378.648011513625,378.013474781583,379.282548245667
2114,377.633011513627,376.998474781585,378.267548245669
2115,376.631011513633,375.996474781591,377.265548245675
2116,375.644011513643,375.009474781601,376.278548245685
2117,374.669011513641,374.034474781599,375.303548245683
2118,373.708011513628,373.073474781585,374.34254824567
2119,372.75901151362,372.124474781578,373.393548245662
2120,371.822011513633,371.187474781591,372.456548245675
2121,370.89701151364,370.262474781598,371.531548245682
2122,369.98301151364,369.348474781598,370.617548245682
2123,369.080011513644,368.445474781601,369.714548245686
2124,368.18801151364,367.553474781598,368.822548245682
2125,367.306011513629,366.671474781587,367.940548245671
2126,366.435011513657,365.800474781615,367.069548245699
2127,365.573011513659,364.938474781617,366.207548245701
2128,364.721011513635,364.086474781593,365.355548245677
2129,363.879011513637,363.244474781595,364.513548245679
2130,363.045011513613,362.410474781571,363.679548245655
2131,362.221011513618,361.586474781576,362.85554824566
2132,361.406011513643,360.771474781601,362.040548245685
2133,360.59901151361,359.964474781568,361.233548245652
2134,359.801011513648,359.166474781606,360.43554824569
2135,359.010011513627,358.375474781585,359.644548245669
2136,358.228011513641,357.593474781599,358.862548245683
2137,357.454011513619,356.819474781577,358.088548245661
2138,356.687011513633,356.052474781591,357.321548245676
2139,355.928011513649,355.293474781607,356.562548245691
2140,355.177011484159,354.544064630125,355.809958338193
2141,354.433011277829,353.811185986967,355.05483656869
2142,353.710011042696,353.100859278595,354.319162806797
2143,353.02001080703,352.423562901226,353.616458712834
2144,352.363010571841,351.779238720426,352.946782423257
2145,351.735010335965,351.163954980987,352.306065690944
2146,351.136010101084,350.577615634726,351.694404567442
2147,350.564009865287,350.018324312482,351.109695418092
2148,350.019009629475,349.48603551785,350.551983741099
2149,349.500009394478,348.979703754358,350.020315034598
2150,349.005009159222,348.497384628747,349.512633689697
2151,348.534008923378,348.039095834084,349.028922012673
2152,348.08300868774,347.600796929114,348.565220446366
